"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-06-08 19:15:00,1017.70,60.0,40.8,48,0,154,,,,,,
2020-06-08 19:30:00,1017.60,61.0,41.2,48,0,154,,,,,,
2020-06-08 20:02:00,1017.50,62.0,41.0,46,3,164,,,,,,
2020-06-08 20:30:00,1017.60,61.0,43.7,52,0,333,,,,,,
2020-06-08 21:02:00,1017.90,61.0,47.0,59,0,287,,,,,,
2020-06-08 21:30:00,1017.70,59.0,48.5,67,3,323,,,,,,
2020-06-08 22:16:00,1017.50,62.0,41.0,46,2,199,,,,,,
2020-06-08 22:30:00,1017.30,63.0,,,1,212,,,,,,
2020-06-08 22:45:00,1017.40,63.0,,,0,191,,,,,,
2020-06-08 23:01:00,1017.40,62.0,,,2,179,,,,,,
2020-06-08 23:30:00,1017.30,63.0,,,1,267,,,,,,
2020-06-08 23:45:00,1017.20,62.0,,,1,263,,,,,,
2020-06-09 00:32:00,1017.00,63.0,63.0,100,0,175,,,,,,
2020-06-09 01:00:00,1016.90,63.0,63.0,100,2,167,,,,,,
2020-06-09 01:15:00,1016.90,62.0,62.0,100,3,209,,,,,,
2020-06-09 01:32:00,1017.00,61.0,,,3,175,,,,,,
2020-06-09 01:46:00,1017.10,60.0,42.3,51,4,222,,,,,,
2020-06-09 02:15:00,1017.10,59.0,43.3,55,1,160,,,,,,
2020-06-09 02:30:00,1017.00,59.0,43.3,55,1,178,,,,,,
2020-06-09 02:46:00,1017.00,58.0,42.4,55,0,192,,,,,,
2020-06-09 03:15:00,1016.90,57.0,41.5,56,1,181,,,,,,
2020-06-09 04:01:00,1017.00,56.0,44.4,64,2,192,,,,,,
2020-06-09 04:30:00,1017.30,56.0,44.8,65,2,178,,,,,,
2020-06-09 04:47:00,1017.30,56.0,45.6,68,3,176,,,,,,
2020-06-09 05:15:00,1017.20,56.0,46.4,69,0,174,,,,,,
2020-06-09 05:30:00,1017.10,55.0,45.0,69,1,186,,,,,,
2020-06-09 05:47:00,1017.00,55.0,46.1,71,2,174,,,,,,
2020-06-09 06:02:00,1017.00,55.0,46.5,72,4,155,,,,,,
2020-06-09 06:30:00,1016.90,54.0,45.9,73,3,185,,,,,,
2020-06-09 06:45:00,1016.90,54.0,46.6,76,2,191,,,,,,
2020-06-09 07:15:00,1016.90,53.0,46.7,78,0,178,,,,,,
2020-06-09 07:30:00,1016.70,53.0,47.6,81,2,186,,,,,,
2020-06-09 07:45:00,1016.50,52.0,47.3,84,0,191,,,,,,
2020-06-09 08:00:00,1016.40,52.0,47.9,85,0,191,,,,,,
2020-06-09 08:17:00,1016.20,52.0,48.2,86,0,196,,,,,,
2020-06-09 08:46:00,1016.00,51.0,47.6,87,0,195,,,,,,
2020-06-09 09:01:00,1016.00,51.0,47.6,87,0,195,,,,,,
2020-06-09 09:30:00,1015.60,52.0,47.9,85,6,191,,,,,,
2020-06-09 09:45:00,1015.40,52.0,47.6,84,6,152,,,,,,
2020-06-09 10:00:00,1015.20,52.0,47.6,84,7,182,,,,,,
2020-06-09 10:15:00,1015.00,52.0,47.9,85,7,160,,,,,,
2020-06-09 10:31:00,1014.90,52.0,47.6,84,6,188,,,,,,
2020-06-09 11:00:00,1014.50,51.0,47.3,87,3,179,,,,,,
2020-06-09 11:15:00,1014.40,51.0,47.6,87,0,208,,,,,,
2020-06-09 11:31:00,1014.30,51.0,47.6,87,3,154,,,,,,
2020-06-09 12:00:00,1014.00,51.0,47.9,88,7,155,,,,,,
2020-06-09 12:45:00,1013.50,51.0,48.5,90,5,175,,,,,,
2020-06-09 13:00:00,1013.40,51.0,48.5,90,4,189,,,,,,
2020-06-09 13:15:00,1013.30,51.0,48.8,92,4,175,,,,,,
2020-06-09 13:31:00,1013.30,51.0,48.8,92,4,176,,,,,,
2020-06-09 14:00:00,1013.50,51.0,48.8,92,3,188,,,,,,
2020-06-09 14:15:00,1013.40,51.0,48.8,92,3,189,,,,,,
2020-06-09 14:33:00,1013.50,51.0,48.8,92,4,184,,,,,,
2020-06-09 15:01:00,1013.30,52.0,50.0,93,6,160,,,,,,
2020-06-09 15:15:00,1012.50,52.0,50.0,93,12,150,,,,,,
2020-06-09 18:16:00,1013.40,55.0,51.8,89,6,178,,,,,,
2020-06-09 18:45:00,1013.30,56.0,52.8,88,6,161,,,,,,
2020-06-09 19:17:00,1013.40,57.0,53.8,89,7,182,,,,,,
2020-06-09 19:45:00,1013.40,58.0,54.5,87,7,210,,,,,,
2020-06-09 20:00:00,1013.40,58.0,53.8,85,7,182,,,,,,
2020-06-09 20:16:00,1013.40,58.0,54.1,86,9,167,,,,,,
2020-06-09 20:32:00,1013.40,58.0,53.8,85,9,154,,,,,,
2020-06-09 21:00:00,1013.60,58.0,54.5,87,8,160,,,,,,
2020-06-09 21:15:00,1013.70,58.0,54.1,86,7,164,,,,,,
2020-06-09 21:45:00,1013.80,58.0,54.1,86,10,179,,,,,,
2020-06-09 22:00:00,1013.80,58.0,54.5,87,7,188,,,,,,
2020-06-09 22:16:00,1013.90,58.0,54.5,87,6,188,,,,,,
2020-06-09 22:45:00,1013.90,58.0,54.5,87,7,161,,,,,,
2020-06-09 23:00:00,1014.00,58.0,54.8,88,6,184,,,,,,
2020-06-09 23:31:00,1014.20,58.0,55.4,90,9,157,,,,,,
2020-06-09 23:45:00,1014.40,58.0,55.7,92,7,174,,,,,,
2020-06-10 00:00:00,1014.40,58.0,56.0,92,9,137,,,,,,
2020-06-10 00:16:00,1014.40,58.0,56.0,92,8,178,,,,,,
2020-06-10 00:45:00,1014.30,59.0,56.7,92,13,175,,,,,,
2020-06-10 01:00:00,1014.40,59.0,56.7,92,13,160,,,,,,
2020-06-10 01:16:00,1014.50,59.0,56.4,90,12,164,,,,,,
2020-06-10 01:45:00,1014.80,59.0,55.5,88,7,189,,,,,,
2020-06-10 02:00:00,1014.70,60.0,56.1,87,5,191,,,,,,
2020-06-10 02:15:00,1014.80,59.0,55.1,86,6,185,,,,,,
2020-06-10 02:32:00,1014.90,59.0,54.8,85,6,191,,,,,,
2020-06-10 03:00:00,1014.90,59.0,54.8,85,11,154,,,,,,
2020-06-10 03:15:00,1014.90,59.0,54.8,85,7,143,,,,,,
2020-06-10 03:46:00,1015.40,59.0,54.5,84,1,186,,,,,,
